product_id,product_name,brand,category,price,description,image_url
P0001,MacBook Air Laptop,Apple,Electronics,101.22,"Apple's thinnest and lightest laptop, powered by the blazing-fast M2 chip. Sports a 13.6-inch Liquid Retina display, silent fanless cooling, and all-day battery life. Perfect for students, professionals, and everyday users who want premium performance in a slim package.",https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1171&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
P0002,Dri-FIT Legend T-Shirt,Nike,Fashion,175.26,"Nike's lightweight performance T-shirt built for training, runs, and everyday casual wear. Made with Dri-FIT sweat-wicking fabric that keeps you dry and comfortable throughout your workout. Relaxed fit with a soft feel — a go-to gym tee that doubles as a casual everyday top.",https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?q=80&w=1160&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
P0003,Solid Sheesham Wood Bed Frame,Pepperfry,Home,226.68,Pepperfry's beautifully crafted bed frame made from premium Indian Sheesham (rosewood). Natural teak finish highlights the wood grain; solid mortise-and-tenon joinery for lasting durability. Available in queen and king sizes with a slatted base — no box spring required.,https://plus.unsplash.com/premium_photo-1661698951100-064e4ae229fd?q=80&w=1074&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
P0004,Ultraboost Light Running Shoes,Adidas,Fashion,166.28,Adidas' lightest Ultraboost running shoes ever — 30% lighter than standard BOOST. The new Light BOOST midsole delivers exceptional energy return while the Primeknit+ upper wraps your foot. Ideal for long-distance runners and streetwear fans who want serious cushioning in a lightweight shoe.,https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
P0005,Geometric Pattern Area Rug,Wayfair,Home,195.92,"A bold, modern area rug with a striking geometric pattern to anchor any living space. Machine-woven from durable polypropylene — stain resistant, easy to clean, and built for high traffic. Available in multiple sizes to fit under a coffee table, dining table, or across an entire room.",https://images.unsplash.com/photo-1759146464279-af282e1d2c73?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
P0006,Alpha 7 IV Mirrorless Camera,Sony,Electronics,892.37,"Sony's versatile full-frame mirrorless camera with a 33MP BSI CMOS sensor and real-time Eye AF. Shoots 10fps bursts and 4K video with exceptional detail, dynamic range, and low-light performance. A professional-grade camera in a compact body — ideal for portrait, travel, and event photographers.",https://images.unsplash.com/photo-1516035069371-29a1b244cc32?q=80&w=764&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
P0007,Revitalift Hyaluronic Acid Face Serum,L'Oreal,Beauty,25.38,"L'Oréal Paris' dermatologist-tested anti-ageing face serum with 1.5% pure Hyaluronic Acid. Intensely hydrates skin, visibly reduces wrinkles, and plumps the skin surface within 7 days. Suitable for all skin types — apply morning and evening on clean skin before moisturiser.",https://images.unsplash.com/photo-1713768704571-6aeb0d0e5105?q=80&w=692&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
P0008,XPS 13 Plus Laptop,Dell,Electronics,186.7,"Dell's most premium compact laptop with a next-generation redesign for professionals. Features an OLED touch display, Intel 12th Gen Core processor, Zero Lattice keyboard, and capacitive function row. Ultra-thin, powerful, and beautifully built — perfect for professionals who want the best Windows laptop.",https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1171&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
P0009,Tiro 23 League Training Pants,Adidas,Fashion,157.3,"Adidas' slim athletic training trousers built for performance on and off the pitch. AEROREADY moisture-absorbing fabric with a tapered leg, zip fly, side pockets, and zip hems. Worn by professional footballers in training — sharp enough to wear casually too.","https://assets.myntassets.com/dpr_1.5,q_30,w_400,c_limit,fl_progressive/assets/images/33612577/2025/5/26/4f09c26b-400b-4967-9676-0575e09d84711748258143573-CULT-Men-Active-Day-Out-Trackpants-9341748258143009-1.jpg"
P0010,BILLY Bookcase Shelving Unit,IKEA,Home,180.54,"IKEA's most iconic and versatile bookcase with adjustable shelves to fit books of any size. Flat-pack and easy to assemble, with optional add-on doors for a cleaner, more enclosed look. Available in multiple widths and finishes — a timeless storage solution for any room.",https://images.unsplash.com/photo-1602990721338-9cbb5b983c4d?q=80&w=735&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
