product_id,product_name,brand,category,price,description,image_url
P0001,MacBook Air 304,Apple,Electronics,101.22,Experience excellence with the MacBook Air 304. It features M2 chip and 13.6-inch Liquid Retina to deliver an outstanding performance. Ideal for Apple fans who value quality and durability.,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400&h=400&fit=crop
P0002,Dri-FIT Legend,Nike,Fashion,175.26,Upgrade your lifestyle with the Dri-FIT Legend. It features Sweat-wicking and Odor-resistant to deliver an outstanding performance. Ideal for Nike fans who value quality and durability.,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&h=400&fit=crop
P0003,Solid Wood Bed,Pepperfry,Home,226.68,"Meet the Solid Wood Bed, designed for perfection. It features Sheesham wood and Teak finish to deliver an outstanding performance. Ideal for Pepperfry fans who value quality and durability.",https://images.unsplash.com/photo-1505693416388-b0346efee535?w=400&h=400&fit=crop
P0004,Ultraboost Light,Adidas,Fashion,166.28,Experience excellence with the Ultraboost Light. It features Lightest Boost and Primeknit+ to deliver an outstanding performance. Ideal for Adidas fans who value quality and durability.,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400&h=400&fit=crop
P0005,Geometric Rug,Wayfair,Home,195.92,Experience excellence with the Geometric Rug. It features Stain resistant and Modern pattern to deliver an outstanding performance. Ideal for Wayfair fans who value quality and durability.,https://images.unsplash.com/photo-1577140917170-285929dfe55c?w=400&h=400&fit=crop
P0006,Alpha 7 IV 224,Sony,Electronics,892.37,Upgrade your lifestyle with the Alpha 7 IV 224. It features 33MP sensor and Real-time Eye AF to deliver an outstanding performance. Ideal for Sony fans who value quality and durability.,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?w=400&h=400&fit=crop
P0007,Revitalift Serum,L'Oreal,Beauty,25.38,Experience excellence with the Revitalift Serum. It features 1.5% Hyaluronic Acid and Anti-wrinkle to deliver an outstanding performance. Ideal for L'Oreal fans who value quality and durability.,https://images.unsplash.com/photo-1570172619644-dfd03ed5d881?w=400&h=400&fit=crop
P0008,XPS 13 Plus 5201,Dell,Electronics,186.7,Upgrade your lifestyle with the XPS 13 Plus 5201. It features OLED touch and Zero-lattice keyboard to deliver an outstanding performance. Ideal for Dell fans who value quality and durability.,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400&h=400&fit=crop
P0009,Tiro 23 League Pants,Adidas,Fashion,157.3,Upgrade your lifestyle with the Tiro 23 League Pants. It features AEROREADY and Ankle zips to deliver an outstanding performance. Ideal for Adidas fans who value quality and durability.,https://images.unsplash.com/photo-1542272454315-4c01d7abdf4a?w=400&h=400&fit=crop
P0010,BILLY Bookcase,IKEA,Home,180.54,"Meet the BILLY Bookcase, designed for perfection. It features Adjustable shelves and Veneer finish to deliver an outstanding performance. Ideal for IKEA fans who value quality and durability.",https://images.unsplash.com/photo-1577140917170-285929dfe55c?w=400&h=400&fit=crop
P0011,Ergo Office Chair,Pepperfry,Home,225.03,"Meet the Ergo Office Chair, designed for perfection. It features Mesh back and Lumbar support to deliver an outstanding performance. Ideal for Pepperfry fans who value quality and durability.",https://images.unsplash.com/photo-1592078615290-033ee584e267?w=400&h=400&fit=crop
P0012,Galaxy Watch 5 7887,Samsung,Electronics,1194.93,"Meet the Galaxy Watch 5 7887, designed for perfection. It features BioActive Sensor and Sleep tracking to deliver an outstanding performance. Ideal for Samsung fans who value quality and durability.",https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400&h=400&fit=crop
P0013,Brasilia Duffel,Nike,Sports,267.86,Upgrade your lifestyle with the Brasilia Duffel. It features Large compartment and Shoe pocket to deliver an outstanding performance. Ideal for Nike fans who value quality and durability.,https://images.unsplash.com/photo-1584735935682-2f2b69dff9d2?w=400&h=400&fit=crop
P0014,Revitalift Serum,L'Oreal,Beauty,41.54,"Meet the Revitalift Serum, designed for perfection. It features 1.5% Hyaluronic Acid and Anti-wrinkle to deliver an outstanding performance. Ideal for L'Oreal fans who value quality and durability.",https://images.unsplash.com/photo-1570172619644-dfd03ed5d881?w=400&h=400&fit=crop
P0015,Adicolor Classics Tee,Adidas,Fashion,17.13,Discover the power of the Adicolor Classics Tee. It features Soft cotton and Archive style to deliver an outstanding performance. Ideal for Adidas fans who value quality and durability.,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&h=400&fit=crop
P0016,Adicolor Classics Tee,Adidas,Fashion,292.64,Experience excellence with the Adicolor Classics Tee. It features Soft cotton and Archive style to deliver an outstanding performance. Ideal for Adidas fans who value quality and durability.,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&h=400&fit=crop
P0017,Galaxy Watch 5 6945,Samsung,Electronics,56.87,"Meet the Galaxy Watch 5 6945, designed for perfection. It features BioActive Sensor and Sleep tracking to deliver an outstanding performance. Ideal for Samsung fans who value quality and durability.",https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400&h=400&fit=crop
P0018,UltraSharp U2723QE 8369,Dell,Electronics,1356.2,Experience excellence with the UltraSharp U2723QE 8369. It features 4K USB-C Hub and IPS Black to deliver an outstanding performance. Ideal for Dell fans who value quality and durability.,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?w=400&h=400&fit=crop
P0019,MacBook Pro 14 3145,Apple,Electronics,164.04,Experience excellence with the MacBook Pro 14 3145. It features M2 Pro chip and Liquid Retina XDR to deliver an outstanding performance. Ideal for Apple fans who value quality and durability.,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400&h=400&fit=crop
P0020,Orbita La Liga Ball,Puma,Sports,44.52,Discover the power of the Orbita La Liga Ball. It features High frequency and Soft touch to deliver an outstanding performance. Ideal for Puma fans who value quality and durability.,https://images.unsplash.com/photo-1584735935682-2f2b69dff9d2?w=400&h=400&fit=crop
P0021,iPad Air 7936,Apple,Electronics,33.16,"Meet the iPad Air 7936, designed for perfection. It features M1 chip and 10.9-inch Liquid Retina to deliver an outstanding performance. Ideal for Apple fans who value quality and durability.",https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400&h=400&fit=crop
P0022,Solid Wood Bed,Pepperfry,Home,88.2,Discover the power of the Solid Wood Bed. It features Sheesham wood and Teak finish to deliver an outstanding performance. Ideal for Pepperfry fans who value quality and durability.,https://images.unsplash.com/photo-1505693416388-b0346efee535?w=400&h=400&fit=crop
P0023,MALM Bed,IKEA,Home,211.38,Upgrade your lifestyle with the MALM Bed. It features High headboard and Storage boxes to deliver an outstanding performance. Ideal for IKEA fans who value quality and durability.,https://images.unsplash.com/photo-1505693416388-b0346efee535?w=400&h=400&fit=crop
P0024,High Impact Mascara,Clinique,Beauty,56.06,Upgrade your lifestyle with the High Impact Mascara. It features Volume and Length to deliver an outstanding performance. Ideal for Clinique fans who value quality and durability.,https://images.unsplash.com/photo-1596462502278-27bfdd403348?w=400&h=400&fit=crop
P0025,Prep + Prime,MAC,Beauty,27.58,Experience excellence with the Prep + Prime. It features Soothes and Sets makeup to deliver an outstanding performance. Ideal for MAC fans who value quality and durability.,https://images.unsplash.com/photo-1570172619644-dfd03ed5d881?w=400&h=400&fit=crop
P0026,Kipsta Football,Decathlon,Sports,271.22,Discover the power of the Kipsta Football. It features F500 Hybrid and Durable to deliver an outstanding performance. Ideal for Decathlon fans who value quality and durability.,https://images.unsplash.com/photo-1584735935682-2f2b69dff9d2?w=400&h=400&fit=crop
P0027,XPS 13 Plus 573,Dell,Electronics,43.16,Experience excellence with the XPS 13 Plus 573. It features OLED touch and Zero-lattice keyboard to deliver an outstanding performance. Ideal for Dell fans who value quality and durability.,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400&h=400&fit=crop
P0028,Sky High Mascara,Maybelline,Beauty,51.63,Upgrade your lifestyle with the Sky High Mascara. It features Bamboo extract and Limitless length to deliver an outstanding performance. Ideal for Maybelline fans who value quality and durability.,https://images.unsplash.com/photo-1596462502278-27bfdd403348?w=400&h=400&fit=crop
P0029,Sky High Mascara,Maybelline,Beauty,42.21,Experience excellence with the Sky High Mascara. It features Bamboo extract and Limitless length to deliver an outstanding performance. Ideal for Maybelline fans who value quality and durability.,https://images.unsplash.com/photo-1596462502278-27bfdd403348?w=400&h=400&fit=crop
P0030,Ergo Office Chair,Pepperfry,Home,47.88,"Meet the Ergo Office Chair, designed for perfection. It features Mesh back and Lumbar support to deliver an outstanding performance. Ideal for Pepperfry fans who value quality and durability.",https://images.unsplash.com/photo-1592078615290-033ee584e267?w=400&h=400&fit=crop
P0031,Sky High Mascara,Maybelline,Beauty,38.41,"Meet the Sky High Mascara, designed for perfection. It features Bamboo extract and Limitless length to deliver an outstanding performance. Ideal for Maybelline fans who value quality and durability.",https://images.unsplash.com/photo-1596462502278-27bfdd403348?w=400&h=400&fit=crop
P0032,Ultraboost Light,Adidas,Fashion,58.54,"Meet the Ultraboost Light, designed for perfection. It features Lightest Boost and Primeknit+ to deliver an outstanding performance. Ideal for Adidas fans who value quality and durability.",https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400&h=400&fit=crop
P0033,Galaxy Buds2 Pro 6450,Samsung,Electronics,179.15,"Meet the Galaxy Buds2 Pro 6450, designed for perfection. It features 24-bit Hi-Fi audio and Intelligent 360 Audio to deliver an outstanding performance. Ideal for Samsung fans who value quality and durability.",https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400&h=400&fit=crop
P0034,MX Keys S 2668,Logitech,Electronics,182.66,Upgrade your lifestyle with the MX Keys S 2668. It features Smart illumination and Fluid typing to deliver an outstanding performance. Ideal for Logitech fans who value quality and durability.,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400&h=400&fit=crop
P0035,Modular Wardrobe,Pepperfry,Home,112.73,Upgrade your lifestyle with the Modular Wardrobe. It features Engineered wood and Spacious to deliver an outstanding performance. Ideal for Pepperfry fans who value quality and durability.,https://images.unsplash.com/photo-1577140917170-285929dfe55c?w=400&h=400&fit=crop
P0036,Tiro 23 League Pants,Adidas,Fashion,236.63,"Meet the Tiro 23 League Pants, designed for perfection. It features AEROREADY and Ankle zips to deliver an outstanding performance. Ideal for Adidas fans who value quality and durability.",https://images.unsplash.com/photo-1542272454315-4c01d7abdf4a?w=400&h=400&fit=crop
P0037,KALLAX Shelf,IKEA,Home,219.3,Experience excellence with the KALLAX Shelf. It features Square design and Versatile storage to deliver an outstanding performance. Ideal for IKEA fans who value quality and durability.,https://images.unsplash.com/photo-1577140917170-285929dfe55c?w=400&h=400&fit=crop
P0038,XPS 13 Plus 9318,Dell,Electronics,198.71,Experience excellence with the XPS 13 Plus 9318. It features OLED touch and Zero-lattice keyboard to deliver an outstanding performance. Ideal for Dell fans who value quality and durability.,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400&h=400&fit=crop
P0039,Kelly Sofa,Wayfair,Home,171.65,"Meet the Kelly Sofa, designed for perfection. It features Velvet upholstery and Tufted back to deliver an outstanding performance. Ideal for Wayfair fans who value quality and durability.",https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=400&h=400&fit=crop
P0040,Helios Sofa,HomeCentre,Home,195.5,Experience excellence with the Helios Sofa. It features Faux leather and Pocket springs to deliver an outstanding performance. Ideal for HomeCentre fans who value quality and durability.,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=400&h=400&fit=crop
P0041,UCL League Ball,Adidas,Sports,181.26,Experience excellence with the UCL League Ball. It features Seamless and FIFA Quality to deliver an outstanding performance. Ideal for Adidas fans who value quality and durability.,https://images.unsplash.com/photo-1584735935682-2f2b69dff9d2?w=400&h=400&fit=crop
P0042,Adicolor Classics Tee,Adidas,Fashion,204.29,Experience excellence with the Adicolor Classics Tee. It features Soft cotton and Archive style to deliver an outstanding performance. Ideal for Adidas fans who value quality and durability.,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&h=400&fit=crop
P0043,Ruby Woo Lipstick,MAC,Beauty,26.5,Experience excellence with the Ruby Woo Lipstick. It features Retro matte and Vivid red to deliver an outstanding performance. Ideal for MAC fans who value quality and durability.,https://images.unsplash.com/photo-1586495777744-4413f21062fa?w=400&h=400&fit=crop
P0044,WH-1000XM5 9278,Sony,Electronics,1861.83,"Meet the WH-1000XM5 9278, designed for perfection. It features Noise cancelling and 30hr battery to deliver an outstanding performance. Ideal for Sony fans who value quality and durability.",https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400&h=400&fit=crop
P0045,UCL League Ball,Adidas,Sports,212.0,"Meet the UCL League Ball, designed for perfection. It features Seamless and FIFA Quality to deliver an outstanding performance. Ideal for Adidas fans who value quality and durability.",https://images.unsplash.com/photo-1584735935682-2f2b69dff9d2?w=400&h=400&fit=crop
P0046,Tech Fleece Joggers,Nike,Fashion,139.39,"Meet the Tech Fleece Joggers, designed for perfection. It features Premium warmth and Tapered fit to deliver an outstanding performance. Ideal for Nike fans who value quality and durability.",https://images.unsplash.com/photo-1542272454315-4c01d7abdf4a?w=400&h=400&fit=crop
P0047,Apple Watch Series 8 4280,Apple,Electronics,33.87,Discover the power of the Apple Watch Series 8 4280. It features Temperature sensing and Blood Oxygen app to deliver an outstanding performance. Ideal for Apple fans who value quality and durability.,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400&h=400&fit=crop
P0048,Modern Coffee Table,Wayfair,Home,57.94,"Meet the Modern Coffee Table, designed for perfection. It features Glass top and Metal legs to deliver an outstanding performance. Ideal for Wayfair fans who value quality and durability.",https://images.unsplash.com/photo-1577140917170-285929dfe55c?w=400&h=400&fit=crop
P0049,Stan Smith,Adidas,Fashion,73.95,Experience excellence with the Stan Smith. It features Vegan upper and Timeless design to deliver an outstanding performance. Ideal for Adidas fans who value quality and durability.,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400&h=400&fit=crop
P0050,Swoosh Headband,Nike,Sports,235.18,Upgrade your lifestyle with the Swoosh Headband. It features Absorbent and Stretchy to deliver an outstanding performance. Ideal for Nike fans who value quality and durability.,https://images.unsplash.com/photo-1584735935682-2f2b69dff9d2?w=400&h=400&fit=crop
P0051,501 Original Fit,Levi's,Fashion,295.31,Upgrade your lifestyle with the 501 Original Fit. It features Straight leg and Button fly to deliver an outstanding performance. Ideal for Levi's fans who value quality and durability.,https://images.unsplash.com/photo-1542272454315-4c01d7abdf4a?w=400&h=400&fit=crop
P0052,Swoosh Headband,Nike,Sports,249.17,Experience excellence with the Swoosh Headband. It features Absorbent and Stretchy to deliver an outstanding performance. Ideal for Nike fans who value quality and durability.,https://images.unsplash.com/photo-1584735935682-2f2b69dff9d2?w=400&h=400&fit=crop
P0053,9to5 Mousse,Lakme,Beauty,27.75,Upgrade your lifestyle with the 9to5 Mousse. It features Weightless and Matte finish to deliver an outstanding performance. Ideal for Lakme fans who value quality and durability.,https://images.unsplash.com/photo-1596462502278-27bfdd403348?w=400&h=400&fit=crop
P0054,POÄNG Armchair,IKEA,Home,76.94,Discover the power of the POÄNG Armchair. It features Bentwood frame and High back to deliver an outstanding performance. Ideal for IKEA fans who value quality and durability.,https://images.unsplash.com/photo-1592078615290-033ee584e267?w=400&h=400&fit=crop
P0055,SuperStay Ink,Maybelline,Beauty,40.17,Discover the power of the SuperStay Ink. It features Liquid matte and 16H wear to deliver an outstanding performance. Ideal for Maybelline fans who value quality and durability.,https://images.unsplash.com/photo-1586495777744-4413f21062fa?w=400&h=400&fit=crop
P0056,Voluminous Mascara,L'Oreal,Beauty,20.49,Discover the power of the Voluminous Mascara. It features Volume building and No clumps to deliver an outstanding performance. Ideal for L'Oreal fans who value quality and durability.,https://images.unsplash.com/photo-1596462502278-27bfdd403348?w=400&h=400&fit=crop
P0057,WH-1000XM5 2358,Sony,Electronics,176.82,Discover the power of the WH-1000XM5 2358. It features Noise cancelling and 30hr battery to deliver an outstanding performance. Ideal for Sony fans who value quality and durability.,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400&h=400&fit=crop
P0058,Ergo Office Chair,Pepperfry,Home,295.27,"Meet the Ergo Office Chair, designed for perfection. It features Mesh back and Lumbar support to deliver an outstanding performance. Ideal for Pepperfry fans who value quality and durability.",https://images.unsplash.com/photo-1592078615290-033ee584e267?w=400&h=400&fit=crop
